Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
78364.8,4779,0,6,22,748,324,724,1402,4,1614,418
24087.05,3064,797,791,265,184,56,31,2070,5,156,1870
93222.95,11823,7,9,7,41,753,3515,29,3,2876,279
42164.6,3748,1146,335,201,104,32,22,1914,19,543,1307
104753.75,4861,52,145,360,573,173,1624,249,0,1657,102
90228.48,12717,21,17,88,533,520,70,7439,0,2412,4469
11334.98,9,0,0,0,0,0,5,4,0,0,0
91896.06,4542,281,391,229,379,115,1469,42,107,1292,209
59596.79,6098,218,1026,464,458,83,448,2239,12,1629,899
78637.26,3125,5,196,783,203,0,681,616,0,1011,121
90983.21,3548,263,428,134,162,68,1096,0,272,1128,90
88694.31,6865,14,126,466,810,332,1733,770,0,1634,760
119380.46,2323,0,514,282,11,0,826,0,0,755,26
76990.24,5643,62,263,91,940,98,1276,361,0,1243,268
77144.58,2944,136,775,200,72,0,862,394,4,851,340
95590.83,10142,18,11,22,1296,1307,2802,92,0,2541,170
112978.14,5947,174,295,480,364,97,1878,237,2,1713,225
56880.31,3670,731,449,104,47,19,600,807,5,712,622
120774.23,3560,26,97,765,152,45,955,165,0,999,70
92435.15,5327,133,715,551,119,11,1193,622,0,1135,586
101283.16,3993,0,0,0,25,0,1317,34,0,982,92
103731.52,2297,8,806,12,9,0,834,16,0,715,105
51786.51,3351,1203,297,52,63,11,840,868,5,839,763
50025.68,4685,1130,684,159,110,20,415,1744,20,805,1280
63804.61,6819,602,503,269,127,51,1477,816,6,1686,417
42139.25,5042,1019,539,217,492,196,32,2782,9,916,1732
49787.07,6704,364,1453,491,609,34,170,3886,6,1485,2194
100521.53,10706,89,809,469,612,306,2959,931,0,3260,476
56313.84,4886,403,802,230,118,146,704,1125,5,912,827
99171.97,4220,0,71,1233,58,5,1319,63,0,1281,42
81851.15,5612,0,0,7,173,1008,1210,1038,0,1629,444
75761.06,8202,758,937,457,362,263,3203,183,43,2760,514
35838.53,3587,991,634,159,98,16,596,1411,26,801,1191
79118.95,5504,273,1164,978,284,224,22,3563,0,1148,2032
51550.04,5306,69,645,281,661,162,1386,926,10,1586,639
90063.18,2116,91,277,141,222,73,856,4,9,808,33
80801.49,6327,1419,523,170,244,55,1346,1408,0,1140,1390
57541.23,5827,153,709,1022,167,93,1175,1033,4,856,1216
41953.88,1848,597,213,95,31,21,32,982,15,214,754
104811.53,6117,29,720,581,434,238,1839,501,0,1898,317
48264.15,12403,628,853,587,713,760,869,5151,1,3241,2335
50436.62,4426,420,1062,253,75,33,1200,738,0,803,987
81045.7,4683,103,1007,392,232,29,1210,567,0,985,755
119841.88,6131,15,76,1028,737,30,1728,216,3,1764,59
48364.21,3681,679,402,163,66,87,194,1631,20,716,1046
91096.42,3277,426,654,50,94,11,1067,227,0,995,266
83718.17,2558,36,741,67,26,0,865,20,0,688,164
61476.63,4459,1500,471,37,28,7,1264,809,5,1195,805
40625.34,4078,1188,292,236,128,23,868,1054,10,754,1063
43282.26,5973,764,915,866,622,9,96,3156,0,1005,2050
82758.97,9854,349,1182,381,338,215,2086,1785,309,2709,1255
53357.38,3289,759,326,78,99,59,870,515,4,647,691
63549.86,4886,547,828,214,143,89,1892,46,4,1737,167
103360.42,2980,3,10,287,299,115,923,149,0,829,184
56386.29,3976,340,1331,135,55,0,64,2201,0,285,1810
43783.01,3948,187,1158,181,56,25,354,1282,0,359,1223
31165.06,3821,280,1048,234,83,10,0,1697,0,60,1550
52510.29,3533,417,868,138,187,55,1160,529,0,1044,604
82262.12,2624,377,612,28,23,23,901,186,7,760,270
210450.56,1871,601,22,6,6,6,589,81,0,528,98
77149.88,3982,3,21,32,370,659,1195,213,0,769,517
74430.33,5760,326,320,109,130,374,1628,11,0,1260,301
111463.46,4776,0,0,0,29,183,1365,121,60,1070,201
54375,11,0,1,1,1,0,3,0,0,3,0
59175.93,4017,532,685,106,44,46,1349,280,0,999,480
91775.81,11379,705,131,21,25,29,3339,1147,5,2925,1074
72687.08,4715,0,63,504,289,261,870,308,3,995,120
138209.12,4298,320,619,153,117,64,1394,5,54,1217,133
42473.19,1495,440,108,63,20,49,241,583,5,309,494
69603.53,5699,34,370,653,719,59,940,1059,0,1228,689
67458.29,3855,829,423,70,41,32,848,798,0,633,867
54533.15,5101,215,1614,374,65,18,170,2120,22,795,1460
72780.11,4769,248,841,85,68,15,594,743,0,935,286
61552.07,4550,599,1057,265,223,45,1321,910,4,1265,933
88239.03,5576,339,290,855,352,131,1536,534,8,1577,390
105173.34,6707,400,645,462,291,228,2203,165,15,1973,253
99694.9,9400,10,0,32,482,1701,2447,35,0,2021,261
151853.27,5111,268,850,188,83,45,1564,22,3,1415,45
106780.16,8975,443,755,337,410,256,2802,200,0,2510,278
48443.8,5240,871,954,430,171,49,163,2825,11,733,2105
111977.22,4548,0,22,251,507,375,1026,255,5,1073,144
77911.73,4904,800,326,106,135,87,1351,731,0,1207,693
91070.72,5705,9,27,88,1267,66,1268,288,0,1149,269
117119.94,6225,67,132,690,561,241,1893,128,0,1781,107
38242.03,5066,315,1158,248,166,84,598,1483,6,990,965
104137.05,11604,51,253,639,227,448,3264,243,9,2962,398
53037.64,2854,154,247,207,225,177,179,1531,11,695,874
85303.69,4226,625,746,64,66,39,1284,307,0,1031,497
112970.38,4773,3,10,126,204,717,932,985,0,1748,78
81992.18,8427,116,1322,1420,373,52,534,3573,1,2127,1755
86383.7,3950,35,519,541,285,33,994,482,0,1072,273
37711.06,1782,378,371,103,121,62,16,1134,9,194,894
107186.26,3373,25,768,413,35,3,1241,5,0,1217,17
86809.34,7850,23,204,319,1073,317,2081,605,250,2398,392
71227.68,2354,506,341,73,34,25,770,245,0,616,371
26141.61,2055,109,189,168,326,26,172,745,0,79,763
42409.19,3508,464,808,89,18,22,845,756,4,626,855
75527.36,5820,1585,675,108,100,79,2260,322,4,1981,542
54345.99,4727,279,1091,434,300,89,725,1642,4,1114,1138
89554.86,6395,33,347,838,609,231,2119,225,0,1635,566
104178.46,4241,266,376,455,323,101,1388,256,5,1219,315
40000,3352,48,275,378,398,273,312,1496,6,465,1230
80861.72,3640,374,873,119,38,18,1246,286,0,1290,246
77798.85,4605,109,285,251,262,86,882,813,5,1054,480
63424.96,4824,348,786,236,286,95,1673,277,21,1263,618
43848.27,5320,258,1008,127,242,63,1442,883,20,1411,849
89553.84,4682,0,470,406,300,132,1382,99,0,1318,114
80640.66,5413,722,579,277,235,82,1853,70,148,1840,197
101051.35,5891,3,26,47,1628,70,1826,12,0,1573,139
46721.27,1711,472,207,39,88,25,5,877,0,260,594
50026.51,6073,1417,544,285,222,135,2464,364,14,2086,701
39930.02,6616,595,674,392,148,63,462,1945,4,743,1588
88296.33,7785,3,2,0,116,1165,1440,287,0,1352,212
52283.02,5042,172,416,1335,557,90,63,2610,0,982,1568
74410.99,4350,390,774,369,46,40,1307,447,5,1161,469
76182.02,1671,242,244,68,59,14,572,88,0,519,125
437853.93,5495,14,146,166,407,540,1777,4,0,1525,119
48073.74,3493,375,138,66,56,47,229,1513,0,231,386
111991.88,6659,255,828,487,401,219,2161,101,0,1918,223
103404.82,6230,514,564,321,411,240,2308,38,8,2110,131
55072.44,1289,222,53,77,20,25,0,681,11,263,352
71979.06,3681,294,1165,39,24,0,1119,457,0,1066,407
48596.94,307,56,8,0,0,0,21,91,0,4,103
38408.59,2875,1004,265,29,50,18,76,1367,0,176,1176
44299.23,4126,1166,733,199,83,32,900,1381,10,703,1352
84701.58,2500,473,413,20,10,0,781,140,0,726,167
72072.09,3628,128,467,424,179,507,77,1953,0,861,960
100783.02,5473,1062,446,241,89,9,1727,297,0,1662,247
48435.57,6270,735,949,236,368,92,243,2888,4,1002,1897
77534.71,4834,1174,192,55,150,110,269,1550,0,1006,716
100534.43,7742,35,852,1087,333,209,2353,487,0,2350,391
85374.87,6852,1335,328,252,383,126,695,2100,4,1442,1198
25544.26,3657,912,671,167,170,81,152,2107,56,294,1939
85461.19,3752,329,570,199,260,101,1235,319,3,1310,240
46447.1,3794,743,741,110,96,16,398,1454,25,649,1143
45613.79,6882,412,2036,223,133,14,481,2425,0,413,2320
74930.17,8554,267,998,709,357,97,1998,1892,13,2424,1272
102599.95,5377,852,541,313,110,152,2136,190,10,1930,311
53520.19,9933,277,1266,437,209,101,1237,2752,0,2510,1064
70332.83,5475,196,901,628,552,186,1298,1537,7,2119,675
90689.49,4619,0,328,766,504,52,1401,467,0,1340,466
76753.06,7266,144,1448,351,74,20,1156,940,6,1444,485
121379.61,3949,19,115,758,269,38,1180,64,0,1149,14
96010.46,5739,31,1591,432,35,0,2015,161,5,1698,338
88786.16,4933,669,255,239,305,80,1233,627,0,1277,483
111948.73,5078,12,511,917,55,17,1546,34,0,1406,42
38576.86,5766,713,1256,162,72,21,175,2079,20,684,1499
107556.69,6524,12,590,493,274,151,2026,269,108,1612,557
74182.44,3343,336,827,77,69,0,1107,257,5,852,492
60052.62,4705,1521,461,60,21,3,1529,596,5,1392,597
59107.53,3598,800,653,113,44,28,655,1035,7,605,1027
44406.85,2670,606,466,141,39,19,318,1025,5,466,855
34585.51,2815,316,235,160,80,95,27,1415,5,347,987
47916.58,3848,662,543,213,65,18,1017,534,14,946,587
111439.28,5460,0,18,128,1072,463,1820,5,0,1605,131
55286.62,5134,63,354,276,837,654,65,2710,9,873,1712
86803.84,8642,202,699,355,472,535,1863,1607,106,2181,1221
55883.29,7357,872,2008,252,163,74,1662,1763,0,1638,1683
31246.32,2187,774,240,87,62,5,46,1255,24,158,1147
125000,3,0,1,1,0,0,2,0,0,3,0
31969.22,1763,194,214,67,26,0,217,383,0,157,402
47493.13,4969,1773,677,135,122,30,233,2549,28,713,2053
85946.49,6435,53,533,1078,533,36,2049,261,0,1658,526
105420.34,7854,67,687,541,561,457,2370,103,0,2136,136
46476.12,5724,909,952,275,230,103,412,2341,21,1041,1571
86936.55,7175,402,862,459,446,123,2489,174,118,2456,272
82525.9,3171,109,268,397,194,50,1085,46,49,1016,126
52605.84,3605,375,1046,112,139,12,340,1400,0,514,1178
45677.01,2247,766,283,30,51,0,10,1125,5,223,863
113497.37,8253,40,133,753,1121,178,2376,118,4,2077,288
85080.1,1891,2,78,508,39,0,558,69,0,413,189
83711.96,8103,507,440,293,521,227,894,1594,11,1455,895
79174.67,6190,333,624,687,580,73,2302,229,4,1960,471
114144.2,3992,0,20,348,409,484,1293,6,187,1300,95
43114.29,6136,571,1032,297,221,42,752,1963,10,862,1677
87240.59,13967,0,38,429,608,529,3677,1598,0,4004,676
54182.58,6259,459,1743,303,64,75,1193,1563,4,1432,1225
34314.44,6718,311,1907,241,124,20,782,2121,6,1112,1621
72962.39,2837,819,385,10,31,0,810,474,0,798,403
49064.76,3473,100,729,364,54,57,308,1120,0,631,746
32182.97,582,8,40,41,55,26,203,5,5,0,0
51580.13,4338,706,595,164,93,19,477,1286,8,745,954
40147.94,5318,300,1438,325,78,14,666,1538,0,1042,1156
53511.83,3450,378,940,87,23,3,994,481,0,749,620
60851.2,3592,185,651,99,41,25,588,436,0,646,306
62860.39,273,3,16,27,49,10,119,5,0,99,10
81613.63,6168,485,1130,73,92,84,2055,352,2,1720,551
82368.68,7383,821,476,335,291,168,496,2059,0,1423,979
85794.58,811,157,73,39,13,0,275,31,5,219,65
103779.13,4733,0,175,817,487,38,1564,0,5,1401,46
55496.87,7568,202,1779,661,193,81,1295,1849,0,1664,1377
84397.32,3731,377,828,30,42,20,1246,66,0,1247,58
80757.11,4503,60,366,146,238,131,303,823,46,665,431
53304.99,5371,46,1070,729,614,80,817,1857,0,1251,1339
40961.1,7115,307,1223,617,866,241,1215,2375,10,1273,2291
103137.24,4836,25,14,18,372,269,1675,12,5,1439,115
92641.56,4325,341,1284,15,9,5,1492,191,0,1344,270
216118.31,2581,722,89,17,31,7,658,277,0,707,213
116753.09,4208,144,269,869,94,20,1350,69,0,1276,91
33769.21,2018,560,378,84,78,0,50,1072,9,206,920
104099.34,4087,0,38,436,548,93,1090,133,0,1049,100
101783.95,7378,27,512,374,265,306,2259,326,10,1591,622
80028,5184,91,532,389,756,230,1750,356,5,1577,487
57474.04,4828,1425,561,194,88,30,1074,1279,0,1085,1125
56595.12,2539,787,91,67,18,0,892,101,0,776,161
110369.92,4526,7,12,153,1102,55,1336,33,0,1184,100
52122.06,2917,48,234,120,102,53,935,4,98,786,152
34461.09,3276,188,693,355,24,0,868,431,0,730,491
75462.05,1165,93,192,61,39,17,412,50,0,422,47
101896.76,4539,33,806,400,228,16,1638,156,0,1433,228
90736.12,4837,208,1053,121,158,38,1539,280,8,1508,253
84302.68,5247,36,1180,605,185,20,1192,924,0,1330,610
78456.4,2062,297,240,79,174,10,660,175,0,612,197
73387.41,4644,219,610,529,343,77,1529,375,12,1143,674
103536.76,5207,221,777,470,421,71,1448,682,0,1739,367
37297.66,5833,1320,807,262,103,46,921,1688,9,957,1501
48346.09,8044,327,1845,374,333,73,1267,1781,4,499,2353
67548.11,3865,189,371,151,106,83,969,290,10,952,223
46250,118,0,7,12,7,0,35,0,0,21,2
71787.88,5547,746,904,379,41,20,1710,436,0,1559,455
41361.57,6264,98,1055,835,238,291,11,2823,0,1452,1239
68695.35,1789,77,510,39,14,10,567,97,0,462,183
109029.13,4628,36,134,679,355,268,1418,265,0,1180,410
61161.22,5698,296,753,233,295,209,2011,140,98,1816,315
70292.63,4294,45,207,538,384,206,859,779,0,866,707
109754.24,5927,34,1042,614,132,0,1404,478,0,1570,260
58653.11,7339,2048,749,132,130,65,2430,801,15,1980,1213
74505.79,613,204,7,6,26,17,257,10,0,242,28
55675.27,3210,623,783,172,67,50,336,1491,9,696,1025
77319.81,4076,411,240,131,233,292,1036,816,0,1008,699
72944.92,6508,120,1019,433,412,187,1703,563,0,1683,493
48559.09,4696,1243,642,163,75,47,1376,812,20,1237,908
0,0,0,0,0,0,0,0,0,0,0,0
85276.13,5688,84,442,1053,306,49,1953,255,26,1896,201
84377.34,6720,70,1716,341,134,22,1650,684,0,1705,436
114823.89,2971,241,366,36,289,39,1028,11,4,919,50
99784.31,4125,77,1374,41,14,14,1551,15,0,1388,114
84650.85,3638,80,709,444,128,12,1210,189,0,1079,265
54527.81,5777,79,785,709,545,133,1287,1753,0,1656,1309
73193.96,5945,78,1271,187,118,61,1136,618,0,1277,342
105745.58,6025,251,1074,328,57,26,1512,419,0,1545,280
25500.85,5776,1200,820,299,338,60,309,2512,5,373,2268
70854,1449,292,276,81,11,3,67,616,0,208,463
122955.15,5660,9,9,113,1305,269,1765,11,0,1521,146
97788.2,8439,271,635,433,425,180,2527,244,58,2324,316
100830.46,2428,71,508,127,208,21,746,92,133,800,166
57374.77,4698,737,452,290,130,23,746,944,26,811,786
41720.25,5847,1068,837,120,92,15,774,1416,0,991,1060
88827.49,21621,23,35,7,35,68,5671,65,0,4441,612
86520.87,4778,62,562,592,216,94,1517,279,0,1394,284
21045.55,1789,708,286,72,31,16,21,1118,0,66,1046
124187.31,5634,9,24,321,816,388,1832,68,0,1666,127
73852.26,4278,550,681,173,329,151,1289,814,5,1339,694
75264.21,1181,121,370,29,0,0,378,143,0,294,229
88437.48,3264,38,764,250,60,0,1142,22,0,911,171
90427.42,4462,70,326,327,505,217,1593,52,5,1372,172
72765.48,4555,804,580,206,149,27,1519,384,10,1348,473
78965.14,7703,1077,1748,609,328,236,766,3804,3,1605,2466
58405.22,5742,1138,525,53,32,21,1078,725,0,1297,398
108136.84,5256,562,1050,198,92,15,1735,223,0,1590,296
50577.55,6724,1070,855,215,275,118,1422,1647,4,1438,1366
39434.46,2931,662,349,39,138,0,416,832,5,336,806
55897.25,5870,265,1208,69,73,107,1030,781,0,1112,587
111581.62,2115,0,3,42,551,50,673,0,0,580,56
79251.73,3717,993,456,185,167,19,1003,891,4,1193,674
101862.85,3667,16,918,200,112,11,1275,0,0,1174,64
74551.4,5928,170,767,318,503,259,1579,628,191,1717,608
63030.38,3087,36,293,367,267,189,737,653,0,670,630
87376.32,4323,255,421,570,371,21,1436,298,0,1102,512
88563.54,3514,606,260,57,38,27,960,132,0,929,74
90777.75,7323,0,282,1740,208,51,2031,316,0,1984,204
54220,3912,387,414,254,259,92,1385,192,35,1250,326
57395.27,3719,336,1100,204,190,50,679,1335,12,948,1018
74792.32,9398,32,72,379,1073,404,942,2020,0,1846,902
81053.64,6620,309,636,444,425,207,2514,254,13,2312,313
54390.59,4627,121,846,256,110,20,898,503,0,912,398
52583.24,60,15,3,0,0,0,28,0,0,19,9
40271.48,4196,434,731,269,238,208,282,2122,18,738,1456
74383.38,2785,43,108,242,489,88,508,706,4,786,362
117228.57,11374,80,198,157,1128,290,3498,189,4,3039,302
85499.34,4878,303,962,280,241,24,1492,376,5,1489,350
44205.3,4224,1449,477,74,60,32,80,2050,0,306,1711
65915.43,7237,27,181,601,87,190,855,1936,4,1273,1383
119007.83,3175,32,803,200,26,10,1039,35,0,964,70
82177.63,3523,133,550,223,141,87,1249,159,0,1170,200
63691.61,6106,148,1736,252,162,43,1636,826,0,1302,1057
65114.86,3827,88,432,199,185,113,1328,89,21,1248,133
50593.32,2231,890,183,33,30,24,21,1187,5,378,772
40618.22,3607,765,369,188,71,17,16,1653,5,553,1028
62336.41,3472,302,225,276,225,197,52,1915,0,636,1091
51606.09,4043,1095,240,91,77,212,17,2195,21,967,1092
53069.78,5531,130,952,1055,419,9,26,2926,0,1491,1272
94487.23,5228,678,230,31,54,184,1526,401,0,1432,368
59340.03,4043,55,639,443,86,9,1000,224,20,738,463
114504.46,7909,8,7,13,33,801,2259,0,0,1857,233
49046.24,3845,529,841,99,134,105,269,1516,0,665,1035
81780.3,7937,374,751,357,343,278,878,1560,0,1403,898
61869.82,3425,1245,210,36,36,16,1328,254,5,1215,345
82886.69,7831,450,1109,654,322,316,1484,1658,4,1918,1130
0,0,0,0,0,0,0,0,0,0,0,0
74696.36,10383,95,745,554,761,475,3266,956,1,3042,998
47631.54,7316,1347,1097,588,173,19,868,2464,24,1374,1846
95793.24,9329,245,439,237,720,677,2600,558,7,2745,277
48247.98,652,122,74,34,24,9,281,0,10,266,21
112181.41,5070,27,21,208,752,346,1518,93,0,1347,133
106970.59,4739,594,574,111,240,122,1791,20,0,1592,146
125853.87,6954,42,432,568,484,397,2340,23,0,1794,363
36543.92,6835,457,1386,324,190,32,201,2268,0,307,2001
63827.06,5717,66,1610,262,95,27,1459,714,5,1596,542
162750.06,4728,0,0,21,167,875,1139,580,0,1366,251
67391.3,4161,70,1211,380,105,21,1353,389,101,998,796
60879.01,4664,1462,490,121,144,28,1371,943,11,1050,1203
38419.98,3120,976,350,87,33,28,43,1591,5,386,1151
71668.4,4350,257,326,113,237,150,534,807,5,705,541
45000,10,0,1,1,1,0,3,0,0,4,0
110200.92,7673,2,56,1022,1122,259,2254,376,0,2329,175
54198.01,3258,21,425,151,665,105,778,804,0,1140,373
82547.93,3065,164,368,135,104,69,1093,91,5,908,227
41239.86,1865,530,187,106,63,7,235,707,4,192,742
93579.8,4168,347,438,289,139,98,1562,21,8,1517,52
100777.76,6885,573,963,466,244,69,2238,582,4,2053,640
93377.33,5956,377,208,8,13,69,1725,186,5,1026,576
98434.06,3226,141,452,121,110,53,916,126,109,783,278
95722.25,6233,1759,341,117,62,29,986,1848,6,1186,1436
78494.55,4834,0,106,1086,175,220,733,1301,0,1392,521
52749.58,9121,485,1574,1005,258,50,729,3168,5,1346,2313
53908.8,1273,355,158,46,21,3,423,196,0,358,244
45602.07,876,164,117,48,42,24,403,3,8,384,34
84246.63,6631,205,488,321,406,647,1674,667,19,1794,436
65932.49,3762,745,732,90,28,8,1206,432,0,1059,519
77102.76,7136,529,1011,467,270,242,2340,224,249,2469,232
56162,3437,989,421,115,60,44,529,1232,14,627,1116
45468.69,5824,471,1535,477,248,119,892,2093,0,799,1958
72204.36,2092,216,272,135,146,16,825,46,6,759,60
119710.6,4221,1329,190,55,72,14,1107,720,5,1110,600
54912.76,3873,373,678,159,102,30,790,608,0,659,645
97184.13,4104,586,407,202,98,15,1387,28,0,1211,117
60833.1,4052,97,1077,222,135,39,979,629,0,630,890
29085.04,3010,599,341,151,69,124,0,1390,0,223,1038
43460.19,1109,211,243,25,3,0,25,454,5,10,465
48919.82,6016,470,1037,467,444,259,153,3433,15,992,2280
72268.12,1643,228,207,70,52,39,656,34,9,610,81
99753.25,4273,174,742,245,261,77,1439,20,222,1576,102
60939.44,7175,904,1143,376,206,120,2740,331,5,2495,545
108148.33,5400,31,91,327,813,345,1681,49,20,1436,209
75336.33,6458,1201,1010,259,183,105,1231,1814,8,1430,1560
99896.43,4205,0,227,62,103,578,1439,110,0,1173,292
48436.65,3538,1101,399,94,84,17,789,971,2,727,972
98237.45,3223,134,126,584,170,26,1015,97,0,919,124
107897.07,1767,553,121,28,9,34,521,260,0,553,209
100873.34,10181,408,227,237,846,931,2870,619,55,2772,540
111866.23,6166,208,871,510,200,63,1917,135,0,1799,129
46982.38,5898,748,888,388,262,367,898,1985,34,1101,1703
49530.46,6807,1203,1176,284,324,134,1265,1994,25,1621,1546
45635.15,6014,951,1773,438,349,21,298,3344,4,944,2529
89270.95,2976,26,213,518,333,62,870,330,0,871,251
80973.59,3316,363,388,289,329,103,945,724,0,935,630
33242.51,808,247,113,28,40,0,0,443,0,96,335
71234.46,2862,20,271,374,102,26,610,461,5,718,283
81029.28,5150,51,918,232,708,120,1508,786,0,1370,766
90950.42,5162,18,55,306,778,957,122,2692,0,1714,954
52438.63,2977,1043,192,32,33,12,229,1157,37,513,807
102126.82,6345,15,35,40,364,280,2020,63,0,1646,301
121754.03,1455,9,0,8,340,104,366,283,5,570,51
46007.37,7526,272,1233,832,469,76,130,2885,0,860,1966
78066.99,3362,44,114,155,292,39,717,372,0,810,165
85854.74,8865,0,8,16,632,1547,2464,931,0,2502,626
94928.57,42,0,2,0,0,6,11,0,4,12,0
57707.18,2277,941,101,23,18,23,27,1146,24,368,752
79945.99,7023,222,536,332,365,302,2046,603,4,2068,434
106375.27,3739,548,366,467,70,99,1385,242,5,1317,307
37534.28,3948,784,472,140,69,22,547,987,5,644,794
96325.54,5516,16,363,1003,213,47,1694,37,0,1409,200
53618.13,3997,604,771,250,106,116,818,1092,5,860,980
39584.66,5407,598,799,162,149,40,232,1647,9,331,1471
97642.5,3407,12,393,576,152,12,1130,32,4,1046,72
77076.98,7641,123,1165,481,506,213,1725,940,144,1929,735
91426.61,3613,20,271,793,126,9,950,323,0,827,352
42911.56,2410,830,285,54,56,3,11,1321,15,344,903
47135.75,4931,1261,749,85,153,20,1417,955,14,1268,1060
87568.35,7542,68,420,1390,892,315,1895,1485,5,2162,1089
32517.44,4198,752,836,214,71,0,10,1898,0,218,1637
50080.76,4234,136,999,430,290,20,569,1382,9,751,1125
42931.86,4614,225,1612,252,299,245,27,2748,0,292,2231
84298.11,495,33,63,23,33,0,123,9,68,170,41
52823.87,1306,52,20,8,8,0,440,6,0,282,102
33894.38,998,172,165,10,52,55,151,334,0,123,317
109386.23,6253,222,410,317,135,57,1796,61,0,1538,149
38456.42,2622,865,189,60,15,14,5,1208,5,295,879
228887.27,4578,1424,75,6,21,7,1233,354,5,1276,267
51672.6,4591,366,1122,626,467,79,559,2183,5,1079,1523
121149.74,7325,21,27,89,891,554,2345,17,5,2066,119
55198.44,4553,579,1295,115,70,34,1359,746,6,1315,771
53362.89,4894,1060,788,211,97,13,667,1733,9,860,1365
52494.98,6252,468,1320,815,283,16,823,2455,5,1314,1882
95907.43,4865,21,165,1143,68,0,1636,11,0,1296,177
97317.11,9121,3,9,114,146,684,2680,74,4,2244,180
94606.1,4214,1237,200,14,13,0,1203,383,0,1301,216
88008.66,1235,78,201,99,50,23,419,52,27,403,74
76088.12,4139,229,716,155,197,160,1233,453,4,1198,393
